id,id_kompetisi,capaian,skala_kompetisi,kategori_peserta,waktu_selesai,last_update,waktu_mulai,nama_kegiatan,jenis_kegiatan,lembaga_penyelenggara,kategori_capaian,kategori_penghargaan,is_pusprenas,status_validasi
5665,66289C57-636E-4D73-900B-9687A1B23A94,Finalis,Internasional,Kelompok,2021-11-16,2023-12-22,2021-11-05,Fooderation International Business Plan Competition,Lomba Mandiri atau Umum,HIMATIPAN Universitas Padjajaran,Apresiasi,Apresiasi,0,2
5666,B5D1D38D-C832-48D1-8A41-8D3845EDBCB6,Peserta,Nasional,Kelompok,2021-11-27,2023-12-22,2021-11-06,Statistical Project For Smart Student,Lomba Mandiri atau Umum,Universitas Binus,Apresiasi,Apresiasi,0,2
5667,86A39671-7565-4B66-BA12-A811383F90B9,Juara 1/emas,Regional,Individu,2021-07-16,2023-12-22,2021-05-10,Duta Generasi Berencana Provinsi Jawa Timur,Lomba Mandiri atau Umum,BKKBN PROVINSI JAWA TIMUR,Juara,Juara 1,0,2
5668,3B589A6D-A03D-44F3-91F0-B3CE4C1709BC,Peserta,Nasional,Kelompok,2021-10-03,2023-12-22,2021-05-23,Cakrawala Ilmiah 2021,Lomba Mandiri atau Umum,Departemen Riset dan Teknologi BEM FTIRS ITS,Apresiasi,Apresiasi,0,2
5669,5EAEA771-F8C0-4040-9B4D-BF1F64469DB6,Finalis,Nasional,Kelompok,2021-12-16,2023-12-22,2021-11-15,UNIMOR NATIONAL BUSINESS PLAN COMPETITION,Lomba Mandiri atau Umum,Prodi Teknologi Informasi Universitas Timor,Apresiasi,Apresiasi,0,2
5670,CB111274-864B-40DF-9B58-C2CC913CE473,Finalis,Nasional,Kelompok,2021-11-14,2023-12-22,2021-09-26,"Chemistry Creative Festival ""Businnes Plan Competition 2021""",Lomba Mandiri atau Umum,Himpunan Mahasiswa Jurusan Kimia FMIPA Universitas Negeri Malang,Apresiasi,Apresiasi,0,2
5671,2B063A70-892D-4EED-BCEF-C828E0E040DF,Juara 2/perak,Nasional,Kelompok,2021-08-05,2023-12-22,2021-07-05,Lomba Menulis Essay Nasional,Lomba Mandiri atau Umum,Senat Mahasiswa FSH UINSA,Juara,Juara 2,0,2
5672,5EDB771B-7E18-4307-9CC9-F24BB020EAB5,Juara 3/perunggu,Nasional,Kelompok,2022-02-18,2023-12-22,2021-12-08,Mile Zero Project Competition 2.0 - WebX,Lomba Mandiri atau Umum,IEEE ITB SB,Juara,Juara 3,0,2
5673,28252628-815D-4D6E-8F21-1CCD4515D719,Juara 3/perunggu,Nasional,Kelompok,2021-11-27,2023-12-22,2021-11-01,National Bridge Competition,Lomba Mandiri atau Umum,Universitas Gadjah Mada,Juara,Juara 3,0,2
5674,E795B979-189A-4575-8B77-2FC39034970F,Peserta,Lokal,Kelompok,2021-11-07,2023-12-22,2021-11-06,LIGA PKM IF ITS 2021,Lomba Mandiri atau Umum,HMTC Progresif 2021,Apresiasi,Apresiasi,0,2
5675,8865E379-8013-444F-957C-31C191C0F586,Juara 3/perunggu,Internasional,Kelompok,2021-11-27,2023-12-22,2021-06-15,Safety Competition Teknik Kimia Universitas Gajah Mada 2021,Lomba Mandiri atau Umum,Teknik Kimia Universitas Gajah Mada,Juara,Juara 3,0,2
